time|cpu|ram
1618940376.8150795|0.0|N/A
1618940377.8175077|0.0|N/A
1618940378.8194165|0.2|N/A
1618940379.8209143|0.0|N/A
1618940380.8224013|0.0|N/A
1618940381.8238251|0.0|N/A
1618940382.8254561|0.0|N/A
1618940383.8269906|0.2|N/A
1618940384.8284376|0.0|N/A
1618940385.8299055|0.0|N/A
